cumbia sonidera,"A type of cumbia that emphasizes the guacharaca, a tube-like instrument with ridges that are scraped to make a percussive sound, as well as the organ and electronic sounds. In Mexico, sonideros are DJs and this style of music often features “shout out” lyrics that highlight a sonidero crew.",,,,,,,,,,,,
mexican rock-and-roll,"often referred to in Mexico as rock nacional (""national rock""), originated in the 1950s.",,,,,,,,,,,,
musica costena,"The music of the Caribean is born of a cultural synthesis of diverse influences: european music, african and american indigenous in less quantity. The Caribean music is comprised of hispanic, English, French and Netherlands speaking in regions such as Aruba, Curazao and St Martin island",,,,,,,,,,,,
bubblegum dance,is a subgenre of Eurodance music. The genre is characterized by cute lyrics and happy sounds. Bubblegum dance usually has a more pop sound than other Eurodance. The lyrics and style are often light-hearted and are not intended to be taken seriously.,,,,,,,,,,,,
eurodance,"is a genre of electronic dance music that originated in the late 1980s in Europe. It combines many elements of hip hop, techno, Hi-NRG, house music, and Euro disco",,,,,,,,,,,,
hip house,"is a musical genre that mixes elements of house music and hip hop, that originated in both London, United Kingdom and Chicago, United States in the mid to late 1980s.",,,,,,,,,,,,
pop rock,"is the intersection of mainstream pop music with rock music, which is often driven by guitars and drums. The term ""pop"" can refer to all sorts of popular music, including hip-hop, country, R&B, bubblegum pop, jangle pop, folk, singer-songwriter, K-Pop, and kids music",,,,,,,,,,,,
british soul,"is soul music performed by British artists. Soul has been a major influence on British popular music since the 1960s, and American soul was extremely popular among some youth subcultures, such as mods, skinheads, and the Northern soul movement",,,,,,,,,,,,
pop soul,is  a Fusion of Pop and Soul; originated in the 1960s as an attempt to give soul crossover success,,,,,,,,,,,,
uk pop,"emerged in the 1950s. It was a style of music which was seen as an alternative to American rock 'n' roll. British pop music has changed a lot since the 1950s. Over the years, more and more people have owned a radio or TV meaning that music has become more accessible for everyone.",,,,,,,,,,,,
latin,"is a term used by the music industry as a catch-all arbitrary category for various styles of music from Latin America, Spain, Portugal, and the United States inspired by older Latin American, Spanish and Portuguese music genres, as well as music sung in the Spanish or ...",,,,,,,,,,,,
latin arena pop,is a pop music subgenre that is a fusion of US–style music production with Latin music genres from anywhere in Latin America,,,,,,,,,,,,
latin pop,is a pop music subgenre that is a fusion of US–style music production with Latin music genres from anywhere in Latin America,,,,,,,,,,,,
spanish pop,is a pop music subgenre that is a fusion of US–style music production with Latin music genres from anywhere in Latin America.,,,,,,,,,,,,
spanish pop rock,"is one of the most diverse genres in Latin American music. It began in the 50s, had a huge boom in the 70s, and continues to grow in popularity to this day. The pioneer when it comes to rock en español artists is Ritchie Valens, who wrote the smash hit La Bamba",,,,,,,,,,,,
disney,"Disney music deserves it’s own genre, primarily because they helped define the movie music we love, with an unnerving ability to remain catchy and relevant far after their movies have left the theater.Beyond the music of movies, Disney consistently creates tunes we want to sing and share, driving them to create their own music group as well as reap bilions from licensing and distribution deals.",,,,,,,,,,,,
movie tunes,"The majority of scores are orchestral works rooted in Western classical music, but many scores are also influenced by jazz, rock, pop, blues, new-age and ambient music, and a wide range of ethnic and world music styles. Since the 1950s, a growing number of scores have also included electronic elements as part of the score, and many scores written today feature a hybrid of orchestral and electronic instruments.",,,,,,,,,,,,
mexican pop,"is a music genre produced in Mexico, particularly intended for teenagers and young adults. Mexico is the country that exports the most entertainment in Spanish language. Mexican pop was limited to Latin America until the mid-1990s, when an interest towards this type of music increased after Selena's, Luis Miguel's, Paulina Rubio's, Thalía's and Angélica María's debuts before the mainstream USA audience.",,,,,,,,,,,,
adult standards,"is a North American radio format heard primarily on AM or class A FM stations. Adult standards (also sometimes known as the nostalgia format) is aimed at ""mature"" adults, meaning mainly those people over 50 years of age, but it is mostly targeted for senior citizens.",,,,,,,,,,,,
classical tenor,"A tenor is a type of classical male singing voice whose vocal range lies between the countertenor and baritone voice types. It is the highest male chest voice type. The tenor's vocal range extends up to C5. The low extreme for tenors is widely defined to be B2, though some roles include an A?2 (two A?s below middle C).",,,,,,,,,,,,
italian tenor,a type of classical male singing voice from Italy whose vocal range lies between the countertenor and baritone voice types,,,,,,,,,,,,
operatic pop,"is a subgenre of pop music that is performed in an operatic singing style or a song, theme or motif from classical music stylized as pop. The subgenre is often performed by classical crossover singers and acts, although that field is much broader in the types of music it encompasses. ""Popera"" performances, such as those by the Three Tenors, have reached larger audiences and brought in greater profits than typical for operatic music.",,,,,,,,,,,,
